,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,Curt Knight 30 yard field goal,3,0
1,1.0,Redskins,Curt Knight 12 yard field goal,6,0
2,2.0,Bears,Mac Percival 15 yard field goal,6,3
3,2.0,Redskins,Curt Knight 37 yard field goal,9,3
4,2.0,Redskins,Curt Knight 9 yard field goal,12,3
5,3.0,Redskins,Curt Knight 27 yard field goal,15,3
6,3.0,Bears,Mac Percival 42 yard field goal,15,6
7,4.0,Bears,Mac Percival 9 yard field goal,15,9
8,4.0,Bears,Cyril Pinder 40 yard rush (Dick Butkus pass from Bobby Douglass ),15,16
