,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,Emmitt Smith 6 yard rush (Ken Willis kick),0,7
1,2.0,Cowboys,Ken Willis 19 yard field goal,0,10
2,3.0,Steelers,Gary Anderson 42 yard field goal,3,10
3,4.0,Cowboys,Ken Willis 43 yard field goal,3,13
4,4.0,Steelers,Warren Williams 3 yard rush (Gary Anderson kick),10,13
5,4.0,Cowboys,Michael Irvin 66 yard pass from Steve Beuerlein (Ken Willis kick),10,20
