,Quarter,Time,Tm,Detail,PIT,TAM
0,2.0,10:20,Buccaneers,Martin Gramatica 31 yard field goal,0,3
1,2.0,6:07,Steelers,Jerame Tuman 32 yard pass from Jerome Bettis (Kris Brown kick),7,3
2,3.0,12:43,Steelers,Jerome Bettis 46 yard rush (Kris Brown kick),14,3
3,3.0,4:49,Steelers,Kris Brown 35 yard field goal,17,3
4,4.0,0:28,Buccaneers,Frank Murphy 5 yard pass from Brad Johnson (Martin Gramatica kick),17,10
