,Quarter,Tm,Detail,SFO,NYY
0,1.0,49ers,Gordie Soltau 26 yard field goal,3,0
1,1.0,49ers,Johnny Strzykalski 28 yard pass from Frankie Albert (Gordie Soltau kick),10,0
2,2.0,Yanks,Sherman Howard 24 yard pass from George Ratterman,10,6
3,2.0,Yanks,Art Weiner 34 yard pass from George Ratterman (Chet Adams kick),10,13
4,2.0,Yanks,"Safety, Albert tackled in end zone by Ruby",10,15
5,3.0,49ers,Joe Perry 5 yard rush (Gordie Soltau kick),17,15
6,4.0,49ers,Jim Cason 27 yard pass from Frankie Albert (Gordie Soltau kick),24,15
7,4.0,Yanks,George Taliaferro 12 yard pass from George Ratterman (Chet Adams kick),24,22
8,4.0,Yanks,Buddy Young 14 yard rush (Chet Adams kick),24,29
