,Quarter,Time,Tm,Detail,SDG,OAK
0,3.0,7:23,Raiders,"Safety,",0,2
1,4.0,9:41,Chargers,Robert Chancey 3 yard rush (pass failed),6,2
2,4.0,2:37,Raiders,Andre Rison 10 yard pass from Rich Gannon (Sebastian Janikowski kick),6,9
