,Quarter,Time,Tm,Detail,DEN,OAK
0,1.0,,Raiders,Daryl Hobbs 11 yard pass from Billy Joe Hobert (Jeff Jaeger kick),0,7
1,2.0,,Broncos,Anthony Miller 2 yard pass from John Elway (Jason Elam kick),7,7
2,2.0,,Broncos,Aaron Craver 1 yard rush (Jason Elam kick),14,7
3,2.0,,Raiders,Derrick Fenner 9 yard pass from Vince Evans (Jeff Jaeger kick),14,14
4,2.0,,Broncos,Jason Elam 45 yard field goal,17,14
5,3.0,,Raiders,Tim Brown 4 yard pass from Billy Joe Hobert (Jeff Jaeger kick),17,21
6,3.0,,Raiders,Tim Brown 48 yard pass from Billy Joe Hobert (Jeff Jaeger kick),17,28
7,4.0,,Broncos,Jason Elam 27 yard field goal,20,28
8,4.0,,Broncos,Ed McCaffrey 4 yard pass from John Elway (John Elway run),28,28
9,4.0,,Broncos,Jason Elam 37 yard field goal,31,28
