,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Andre Waters 3 yard defensive fumble return (Roger Ruzek kick),7,0
1,1.0,Eagles,Clyde Simmons 60 yard interception return (Roger Ruzek kick),14,0
2,1.0,Giants,Mark Ingram 41 yard pass from Phil Simms (Bjorn Nittmo kick),14,7
3,2.0,Eagles,Roger Ruzek 35 yard field goal,17,7
4,3.0,Giants,Bjorn Nittmo 38 yard field goal,17,10
5,3.0,Giants,Ottis Anderson 1 yard rush (Bjorn Nittmo kick),17,17
6,4.0,Eagles,Keith Byars 2 yard rush (Roger Ruzek kick),24,17
