,Quarter,Time,Tm,Detail,NWE,DEN
0,1.0,9:06,Patriots,Adam Vinatieri 24 yard field goal,3,0
1,1.0,4:57,Patriots,David Patten 30 yard pass from Tom Brady (Adam Vinatieri kick),10,0
2,1.0,0:57,Broncos,Mike Anderson 8 yard rush (Jason Elam kick),10,7
3,2.0,4:03,Broncos,Jason Elam 50 yard field goal,10,10
4,2.0,1:21,Patriots,Troy Brown 5 yard pass from Tom Brady (Adam Vinatieri kick),17,10
5,3.0,10:59,Patriots,Adam Vinatieri 44 yard field goal,20,10
6,3.0,10:35,Broncos,Rod Smith 65 yard pass from Brian Griese (Jason Elam kick),20,17
7,3.0,3:35,Broncos,Dwayne Carswell 6 yard pass from Brian Griese (Jason Elam kick),20,24
8,4.0,2:24,Broncos,Denard Walker 39 yard interception return (Jason Elam kick),20,31
