,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Jeff Groth 11 yard pass from Ken Stabler (Morten Andersen kick),0,7
1,1.0,Rams,"Safety, Jack Youngblood tackled Stabler in end zone",2,7
2,2.0,Rams,Henry Ellard 72 yard punt return (Mike Lansford kick),9,7
3,3.0,Rams,Johnnie Johnson 31 yard interception return (Mike Lansford kick),16,7
4,3.0,Saints,Dave Wilson 1 yard rush (Morten Andersen kick),16,14
5,4.0,Saints,Morten Andersen 20 yard field goal,16,17
6,4.0,Rams,Nolan Cromwell 43 yard interception return (Mike Lansford kick),23,17
7,4.0,Saints,Steve Korte offensive fumble recovery in end zone (Morten Andersen kick),23,24
8,4.0,Rams,Mike Lansford 42 yard field goal,26,24
