,Quarter,Time,Tm,Detail,PHI,DEN
0,1.0,,Broncos,Terrell Davis 20 yard rush (Jason Elam kick),0,7
1,1.0,,Broncos,Rod Smith 8 yard pass from Bubby Brister (Jason Elam kick),0,14
2,1.0,,Broncos,Shannon Sharpe 9 yard pass from Bubby Brister (Jason Elam kick),0,21
3,1.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),0,28
4,2.0,1:39,Eagles,"Safety, Rouen punt blocked out of end zone",2,28
5,2.0,1:16,Broncos,Ed McCaffrey 12 yard pass from Bubby Brister (Jason Elam kick),2,35
6,3.0,1:16,Broncos,Rod Smith 31 yard pass from Bubby Brister,2,41
7,4.0,1:16,Eagles,Charlie Garner 3 yard rush (Chris Boniol kick),9,41
8,4.0,1:16,Eagles,Charlie Garner 3 yard rush (Chris Boniol kick),16,41
