,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Larry Schreiber 5 yard rush (Bruce Gossett kick),0,7
1,2.0,Saints,Larry Cipa 1 yard rush (Bill McClard kick),7,7
2,2.0,49ers,Larry Schreiber 1 yard rush (Bruce Gossett kick),7,14
3,4.0,49ers,Gene Washington 17 yard pass from Tom Owen (Bruce Gossett kick),7,21
4,4.0,49ers,Bill Belk 19 yard defensive fumble return (Bruce Gossett kick),7,28
5,4.0,Saints,Paul Seal 7 yard pass from Bobby Scott (Bill McClard kick),14,28
6,4.0,Saints,Bob Newland 10 yard pass from Bobby Scott (Bill McClard kick),21,28
7,4.0,49ers,Dave Wilcox 21 yard interception return (Bruce Gossett kick),21,35
