,Quarter,Tm,Detail,COL,BUF
0,2,All-Americans,Tommy Hughitt unknown yard rush,0,6
1,3,All-Americans,Waddy Kuehl 1 yard rush (Frank Morrissey kick),0,13
2,4,All-Americans,Jim Laird 5 yard rush,0,19
