,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Ray Wersching 45 yard field goal,3,0
1,1.0,Saints,Steve Mike-Mayer 50 yard field goal,3,3
2,2.0,Saints,Chuck Muncie 6 yard rush (Steve Mike-Mayer kick),3,10
3,2.0,Saints,Wes Chandler 58 yard pass from Archie Manning (Steve Mike-Mayer kick),3,17
4,2.0,49ers,Paul Seal 41 yard pass from Scott Bull (Ray Wersching kick),10,17
5,3.0,49ers,Ray Wersching 42 yard field goal,13,17
6,4.0,Saints,Wes Chandler 12 yard pass from Archie Manning (Steve Mike-Mayer kick),13,24
