,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Billy Howton 19 yard pass from Babe Parilli (Fred Cone kick),7,0
1,1.0,Bears,Leon Campbell 86 yard kickoff return (George Blanda kick),7,7
2,2.0,Packers,Fred Cone 1 yard rush (Fred Cone kick),14,7
3,2.0,Packers,Fred Cone 12 yard field goal,17,7
4,3.0,Packers,Fred Cone 37 yard pass from Tobin Rote (Fred Cone kick),24,7
5,3.0,Bears,Eddie Macon 89 yard kickoff return (George Blanda kick),24,14
6,4.0,Packers,John Martinkovic fumble recovery in end zone (Fred Cone kick),31,14
7,4.0,Packers,Bill Reichardt 37 yard field goal,34,14
8,4.0,Packers,Bob Mann 27 yard pass from Babe Parilli (Fred Cone kick),41,14
9,4.0,Bears,Gene Schroeder 48 yard pass from Steve Romanik (George Blanda kick),41,21
10,4.0,Bears,Fred Morrison 12 yard pass from Steve Romanik (George Blanda kick),41,28
