,Quarter,Time,Tm,Detail,ATL,TAM
0,1.0,7:38,Falcons,Matt Bryant 31 yard field goal,3,0
1,1.0,1:12,Buccaneers,Doug Martin 1 yard rush (Connor Barth kick),3,7
2,2.0,10:25,Falcons,Jacquizz Rodgers 5 yard rush (Matt Bryant kick),10,7
3,2.0,3:37,Buccaneers,Connor Barth 22 yard field goal,10,10
4,3.0,8:37,Buccaneers,Connor Barth 42 yard field goal,10,13
5,3.0,8:26,Falcons,Julio Jones 80 yard pass from Matt Ryan (Matt Bryant kick),17,13
6,4.0,14:56,Buccaneers,Doug Martin 1 yard rush (Connor Barth kick),17,20
7,4.0,10:28,Buccaneers,Connor Barth 48 yard field goal,17,23
8,4.0,7:55,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),24,23
