,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Sam Baker 15 yard field goal,0,3
1,1.0,Redskins,Charlie Gogolak 17 yard field goal,3,3
2,2.0,Redskins,Joe Don Looney 1 yard rush (Charlie Gogolak kick),10,3
3,2.0,Eagles,Sam Baker 37 yard field goal,10,6
4,3.0,Eagles,Earl Gros 13 yard pass from Norm Snead (Sam Baker kick),10,13
5,3.0,Redskins,Charlie Gogolak 28 yard field goal,13,13
6,4.0,Redskins,Bobby Mitchell 4 yard pass from Sonny Jurgensen (Charlie Gogolak kick),20,13
7,4.0,Redskins,Jerry Smith 4 yard pass from Sonny Jurgensen (Charlie Gogolak kick),27,13
