,Quarter,Time,Tm,Detail,IND,KAN
0,2.0,14:15,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),7,0
1,2.0,5:23,Chiefs,Tony Richardson 11 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,7
2,3.0,8:23,Colts,Edgerrin James 27 yard pass from Peyton Manning (Mike Vanderjagt kick),14,7
3,3.0,4:25,Chiefs,Derrick Alexander 21 yard pass from Elvis Grbac (Pete Stoyanovich kick),14,14
4,4.0,13:37,Colts,Mike Vanderjagt 23 yard field goal,17,14
5,4.0,12:38,Colts,Jeff Burris 27 yard interception return (Mike Vanderjagt kick),24,14
6,4.0,4:01,Colts,Mike Vanderjagt 40 yard field goal,27,14
