,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,Roger Craig 10 yard rush (Ray Wersching kick),7,0
1,3.0,Vikings,Allen Rice 1 yard rush (Jan Stenerud kick),7,7
2,4.0,49ers,Roger Craig 18 yard pass from Joe Montana (Ray Wersching kick),14,7
3,4.0,Vikings,Mike Jones 44 yard pass from Tommy Kramer (Jan Stenerud kick),14,14
4,4.0,49ers,Roger Craig 19 yard pass from Joe Montana (Ray Wersching kick),21,14
5,4.0,Vikings,Alfred Anderson 1 yard rush (Jan Stenerud kick),21,21
6,4.0,Vikings,Ted Brown 10 yard rush (Jan Stenerud kick),21,28
