,Quarter,Time,Tm,Detail,SDG,NOR
0,1.0,,Saints,Doug Brien 37 yard field goal,0,3
1,1.0,5:39,Chargers,Rodney Harrison defensive fumble recovery in end zone (John Carney kick),7,3
2,2.0,5:39,Saints,Doug Brien 31 yard field goal,7,6
3,2.0,5:39,Chargers,John Carney 37 yard field goal,10,6
4,3.0,5:39,Chargers,John Carney 34 yard field goal,13,6
5,4.0,5:39,Chargers,Freddie Jones 21 yard pass from Jim Everett (John Carney kick),20,6
