,Quarter,Time,Tm,Detail,LAC,TEN
0,1.0,6:06,Titans,Cody Parkey 45 yard field goal,0,3
1,1.0,0:07,Chargers,Chase McLaughlin 29 yard field goal,3,3
2,2.0,3:43,Chargers,Melvin Gordon 1 yard pass from Philip Rivers (Chase McLaughlin kick),10,3
3,2.0,0:27,Titans,Corey Davis 8 yard pass from Ryan Tannehill (Cody Parkey kick),10,10
4,4.0,13:16,Titans,Tajae Sharpe 5 yard pass from Ryan Tannehill (Cody Parkey kick failed),10,16
5,4.0,10:59,Chargers,Chase McLaughlin 50 yard field goal,13,16
6,4.0,6:45,Titans,Derrick Henry 11 yard rush (Cody Parkey kick),13,23
7,4.0,5:16,Chargers,Austin Ekeler 41 yard pass from Philip Rivers (Chase McLaughlin kick),20,23
