,Quarter,Time,Tm,Detail,DAL,STL
0,1.0,5:19,Cowboys,Darnay Scott 17 yard pass from Quincy Carter (Billy Cundiff kick),7,0
1,2.0,1:25,Rams,Isaac Bruce 21 yard pass from Jamie Martin (Jeff Wilkins kick),7,7
2,3.0,2:05,Rams,Jeff Wilkins 27 yard field goal,7,10
3,4.0,4:23,Cowboys,Billy Cundiff 35 yard field goal,10,10
4,4.0,0:00,Cowboys,Billy Cundiff 48 yard field goal,13,10
