,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Jason Hanson 47 yard field goal,0,3
1,2.0,Packers,Sterling Sharpe 12 yard pass from Brett Favre (Chris Jacke kick),7,3
2,2.0,Lions,Brett Perriman 1 yard pass from Erik Kramer (Jason Hanson kick),7,10
3,3.0,Lions,Mel Jenkins 15 yard interception return (Jason Hanson kick),7,17
4,3.0,Packers,Sterling Sharpe 28 yard pass from Brett Favre (Chris Jacke kick),14,17
5,3.0,Packers,George Teague 101 yard interception return (Chris Jacke kick),21,17
6,4.0,Lions,Derrick Moore 5 yard rush (Jason Hanson kick),21,24
7,4.0,Packers,Sterling Sharpe 40 yard pass from Brett Favre (Chris Jacke kick),28,24
