,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Jerry Smith 6 yard pass from Billy Kilmer (Curt Knight kick),0,7
1,2.0,Redskins,Mike Bass 32 yard blocked field goal return (Curt Knight kick),0,14
2,2.0,Cardinals,Jim Bakken 41 yard field goal,3,14
3,2.0,Redskins,Curt Knight 31 yard field goal,3,17
4,3.0,Redskins,Jerry Smith 5 yard pass from Billy Kilmer (Curt Knight kick),3,24
5,3.0,Cardinals,Leon Burns 1 yard rush (Jim Bakken kick),10,24
