,Quarter,Time,Tm,Detail,DET,SFO
0,1.0,2:16,49ers,Isaac Bruce 6 yard pass from J.T. O'Sullivan (Joe Nedney kick),0,7
1,2.0,12:52,49ers,Frank Gore 4 yard rush (Joe Nedney kick),0,14
2,2.0,7:23,Lions,Jason Hanson 44 yard field goal,3,14
3,2.0,5:48,49ers,Delanie Walker 24 yard pass from J.T. O'Sullivan (Joe Nedney kick),3,21
4,3.0,1:43,Lions,Jason Hanson 51 yard field goal,6,21
5,4.0,9:31,49ers,Allen Rossum 1 yard rush (Joe Nedney kick),6,28
6,4.0,6:57,Lions,Rudi Johnson 34 yard pass from Jon Kitna (Jason Hanson kick),13,28
7,4.0,4:25,49ers,Joe Nedney 25 yard field goal,13,31
