,Quarter,Tm,Detail,DET,CIN
0,1.0,Bengals,Horst Muhlmann 34 yard field goal,0,3
1,1.0,Bengals,Horst Muhlmann 40 yard field goal,0,6
2,2.0,Lions,Ron Jessie 18 yard rush,6,6
3,2.0,Bengals,Horst Muhlmann 47 yard field goal,6,9
4,2.0,Lions,Errol Mann 42 yard field goal,9,9
5,3.0,Lions,Altie Taylor 3 yard rush (Errol Mann kick),16,9
6,3.0,Bengals,Horst Muhlmann 42 yard field goal,16,12
7,4.0,Bengals,Ed Williams 2 yard rush (Horst Muhlmann kick),16,19
8,4.0,Lions,Charlie Sanders 8 yard pass from Greg Landry (Errol Mann kick),23,19
