,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,9:02,Packers,Ryan Longwell 25 yard field goal,0,3
1,2.0,7:40,Bears,Bryan Johnson 11 yard pass from Rex Grossman (Paul Edinger kick),7,3
2,2.0,1:44,Bears,Mike Brown 95 yard defensive fumble return (Paul Edinger kick),14,3
3,3.0,11:31,Bears,Thomas Jones 1 yard rush (Paul Edinger kick),21,3
4,3.0,1:46,Packers,Robert Ferguson 18 yard pass from Brett Favre (Ryan Longwell kick),21,10
