,Quarter,Tm,Detail,POT,CHI
0,2.0,Bears,Paddy Driscoll 20 yard field goal,0,3
1,3.0,Maroons,Tony Latone 8 yard rush (Russ Hathaway kick),7,3
2,3.0,Bears,Paddy Driscoll 30 yard rush,7,9
