,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,2:44,Falcons,Roddy White 2 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,2.0,10:54,Eagles,Jeremy Maclin 5 yard pass from Michael Vick (Alex Henery kick),7,7
2,2.0,6:46,Eagles,Alex Henery 22 yard field goal,10,7
3,2.0,0:44,Falcons,Tony Gonzalez 4 yard pass from Matt Ryan (Matt Bryant kick),10,14
4,3.0,11:56,Falcons,Tony Gonzalez 17 yard pass from Matt Ryan (Matt Bryant kick),10,21
5,3.0,10:00,Eagles,Jeremy Maclin 36 yard pass from Michael Vick (Alex Henery kick),17,21
6,3.0,7:52,Eagles,LeSean McCoy 8 yard rush (Alex Henery kick),24,21
7,3.0,1:59,Eagles,LeSean McCoy 2 yard rush (Alex Henery kick),31,21
8,4.0,10:45,Falcons,Ovie Mughelli 1 yard pass from Matt Ryan (Matt Bryant kick),31,28
9,4.0,4:48,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),31,35
