,Quarter,Tm,Detail,CLE,WAS
0,1.0,Redskins,Hugh Taylor 30 yard pass from Eddie LeBaron (George Buksar kick),0,7
1,1.0,Redskins,Harry Gilmer 7 yard pass from Eddie LeBaron (George Buksar kick),0,14
2,1.0,Browns,Chick Jagade 17 yard rush (Lou Groza kick),7,14
3,2.0,Redskins,George Buksar 17 yard field goal,7,17
4,2.0,Browns,Mac Speedie 23 yard pass from Otto Graham (Lou Groza kick),14,17
5,2.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),21,17
6,3.0,Browns,Dub Jones 39 yard pass from Otto Graham (Lou Groza kick),28,17
7,3.0,Browns,Ken Carpenter 54 yard punt return (run failed),34,17
8,4.0,Redskins,Leon Heath 19 yard pass from Eddie LeBaron (George Buksar kick),34,24
9,4.0,Browns,Dante Lavelli 3 yard pass from Dub Jones (Lou Groza kick),41,24
10,4.0,Browns,Otto Graham 2 yard rush (Lou Groza kick),48,24
