,Quarter,Tm,Detail,MIN,CLE
0,2,Vikings,Rich Karlis 44 yard field goal,3,0
1,3,Browns,Ron Middleton 5 yard pass from Bernie Kosar (Matt Bahr kick),3,7
2,3,Vikings,Herschel Walker 26 yard rush (Rich Karlis kick),10,7
3,3,Browns,Reggie Langhorne 62 yard pass from Bernie Kosar (Matt Bahr kick),10,14
4,4,Vikings,Steve Jordan 2 yard pass from Tommy Kramer (Rich Karlis kick),17,14
5,4,Browns,Matt Bahr 32 yard field goal,17,17
6,OT,Browns,Van Waiters 14 yard pass from Mike Pagel,17,23
