,Quarter,Time,Tm,Detail,CIN,HOU
0,1.0,,Oilers,Al Del Greco 46 yard field goal,0,3
1,2.0,,Oilers,Al Del Greco 42 yard field goal,0,6
2,3.0,,Bengals,James Hundon 14 yard pass from Jeff Blake (Doug Pelfrey kick),7,6
3,3.0,,Bengals,James Francis 42 yard interception return (Doug Pelfrey kick),14,6
4,4.0,,Bengals,Ki-Jana Carter 9 yard rush (Doug Pelfrey kick),21,6
5,4.0,,Oilers,Frank Wycheck 16 yard pass from Steve McNair (Al Del Greco kick),21,13
