,Quarter,Tm,Detail,PIT,DEN
0,1.0,Broncos,Jason Elam 48 yard field goal,0,3
1,1.0,Broncos,Robert Delpino 1 yard rush (Jason Elam kick),0,10
2,2.0,Broncos,Derek Russell offensive fumble recovery in end zone (Jason Elam kick),0,17
3,2.0,Broncos,Jason Elam 27 yard field goal,0,20
4,3.0,Steelers,Gary Anderson 37 yard field goal,3,20
5,3.0,Broncos,Robert Delpino 1 yard rush (Jason Elam kick),3,27
6,3.0,Broncos,Vance Johnson 13 yard pass from John Elway (Jason Elam kick),3,34
7,3.0,Steelers,Gary Anderson 38 yard field goal,6,34
8,4.0,Broncos,Jason Elam 28 yard field goal,6,37
9,4.0,Steelers,Yancey Thigpen 39 yard pass from Mike Tomczak (Gary Anderson kick),13,37
