,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Rich Szaro 23 yard field goal,0,3
1,1.0,Rams,Harold Jackson 18 yard pass from Pat Haden (Rafael Septien kick),7,3
2,2.0,Saints,Tony Galbreath 1 yard rush (Rich Szaro kick),7,10
3,2.0,Rams,Rafael Septien 36 yard field goal,10,10
4,2.0,Saints,Elois Grooms 3 yard pass from Tom Blanchard (Rich Szaro kick),10,17
5,2.0,Rams,Harold Jackson 9 yard pass from Pat Haden (Rafael Septien kick),17,17
6,2.0,Rams,Rafael Septien 27 yard field goal,20,17
7,3.0,Saints,Tony Galbreath 1 yard rush (Rich Szaro kick),20,24
8,4.0,Rams,Lawrence McCutcheon 2 yard rush (pass failed),26,24
9,4.0,Saints,Rich Szaro 31 yard field goal,26,27
