,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Jets,Brad Baxter 3 yard rush (Pat Leahy kick),7,0
1,1.0,Bills,Andre Reed 16 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,2.0,Jets,Pat Leahy 19 yard field goal,10,7
3,2.0,Bills,Scott Norwood 31 yard field goal,10,10
4,3.0,Bills,Kenneth Davis 4 yard rush (Scott Norwood kick),10,17
5,3.0,Jets,Pat Leahy 23 yard field goal,13,17
6,4.0,Bills,James Lofton 27 yard pass from Jim Kelly (Scott Norwood kick),13,24
