,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,10:50,Lions,Kevin Smith 1 yard rush (Jason Hanson kick),7,0
1,1.0,8:51,Bears,Jay Cutler 5 yard rush (Robbie Gould kick),7,7
2,1.0,5:03,Lions,Will Heller 14 yard pass from Matthew Stafford (Jason Hanson kick),14,7
3,2.0,14:14,Bears,Kellen Davis 2 yard pass from Jay Cutler (Robbie Gould kick),14,14
4,2.0,10:54,Bears,Greg Olsen 1 yard pass from Jay Cutler (Robbie Gould kick),14,21
5,2.0,0:26,Lions,Kevin Smith 3 yard rush (Jason Hanson kick),21,21
6,3.0,14:48,Bears,Johnny Knox 102 yard kickoff return (Robbie Gould kick),21,28
7,3.0,10:18,Bears,Robbie Gould 52 yard field goal,21,31
8,3.0,2:33,Bears,Robbie Gould 22 yard field goal,21,34
9,4.0,8:15,Lions,Jason Hanson 35 yard field goal,24,34
10,4.0,6:46,Bears,Matt Forte 37 yard rush (Robbie Gould kick),24,41
11,4.0,1:57,Bears,Garrett Wolfe 2 yard rush (Robbie Gould kick),24,48
