,Quarter,Time,Tm,Detail,MIA,SFO
0,1.0,8:46,49ers,Kevan Barlow 2 yard rush (Jose Cortez kick),0,7
1,1.0,0:02,49ers,Eric Johnson 12 yard pass from Jeff Garcia (Jose Cortez kick),0,14
2,3.0,0:51,49ers,Kevan Barlow 1 yard rush (Jose Cortez kick),0,21
