,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Tony Nathan 86 yard punt return (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Larry Csonka 7 yard rush (Uwe von Schamann kick),0,14
2,2.0,Dolphins,Uwe von Schamann 29 yard field goal,0,17
3,3.0,Bills,Roland Hooks 3 yard rush (Nick Mike-Mayer kick),7,17
