,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Bill Hewitt 13 yard touchdown on a lateral (Jack Manders kick),0,7
1,1.0,Bears,Jack Manders 30 yard field goal,0,10
2,4.0,Bears,Bronko Nagurski unknown yard rush (Jack Manders kick),0,17
3,4.0,Cardinals,Roy Horstmann 2 yard rush,6,17
