,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Ray Poage 36 yard pass from Edd Hargett (Tom Dempsey kick),0,7
1,1.0,Saints,Mike Morgan 28 yard defensive fumble return (Tom Dempsey kick),0,14
2,1.0,Rams,Jack Snow 22 yard pass from Roman Gabriel (David Ray kick),7,14
3,2.0,Rams,David Ray 43 yard field goal,10,14
4,2.0,Rams,David Ray 14 yard field goal,13,14
5,2.0,Rams,Bob Long 15 yard pass from Roman Gabriel (David Ray kick),20,14
6,3.0,Saints,Tom Dempsey 23 yard field goal,20,17
7,3.0,Rams,David Ray 23 yard field goal,23,17
8,4.0,Rams,Les Josephson 9 yard rush (David Ray kick),30,17
