,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Bucky Pope 12 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,1.0,Bears,Johnny Morris 10 yard pass from Rudy Bukich (Bob Jencks kick),7,7
2,2.0,Bears,Joe Marconi 12 yard pass from Rudy Bukich (Bob Jencks kick),14,7
3,2.0,Bears,Jon Arnett 1 yard rush (Bob Jencks kick),21,7
4,2.0,Rams,Bruce Gossett 22 yard field goal,21,10
5,3.0,Rams,Les Josephson 5 yard rush (Bruce Gossett kick),21,17
6,3.0,Bears,Roger LeClerc 9 yard field goal,24,17
7,3.0,Bears,Roger LeClerc 14 yard field goal,27,17
8,3.0,Bears,Mike Ditka 18 yard pass from Rudy Bukich (Roger LeClerc kick),34,17
9,4.0,Rams,Bucky Pope 14 yard pass from Roman Gabriel (Bruce Gossett kick),34,24
