,Quarter,Tm,Detail,DUL,CHI
0,1.0,Bears,Laurie Walquist unknown yard pass from Paddy Driscoll (Paddy Driscoll kick),0,7
1,3.0,Eskimos,Johnny Blood unknown yard pass from Ernie Nevers (Ernie Nevers kick),7,7
2,4.0,Eskimos,Cobb Rooney unknown yard pass from Ernie Nevers (Ernie Nevers kick),14,7
3,4.0,Bears,Paddy Driscoll unknown yard rush (Paddy Driscoll kick),14,14
4,4.0,Bears,Joey Sternaman 10 yard rush,14,20
5,4.0,Bears,George Halas interception in end zone (Paddy Driscoll kick),14,27
