,Quarter,Tm,Detail,CHI,MIN
0,1,Vikings,"Safety, Hilgenberg tackled Parsons in end zone",0,2
1,2,Vikings,Stu Voigt 11 yard pass from Fran Tarkenton,0,8
2,3,Vikings,Fred Cox 32 yard field goal,0,11
3,4,Bears,Gary Huff 3 yard rush (Mirro Roder kick),7,11
