,Quarter,Time,Tm,Detail,MIN,NWE
0,1.0,6:06,Vikings,Robert Smith 4 yard rush (Gary Anderson kick),7,0
1,1.0,4:15,Patriots,Kevin Faulk 2 yard rush (Adam Vinatieri kick),7,7
2,2.0,9:53,Vikings,Johnny McWilliams 1 yard pass from Daunte Culpepper (Gary Anderson kick),14,7
3,2.0,5:18,Vikings,Matthew Hatchette 39 yard pass from Daunte Culpepper (Gary Anderson kick),21,7
4,4.0,11:11,Patriots,Terry Glenn 8 yard pass from Drew Bledsoe,21,13
