,Quarter,Tm,Detail,CLE,IND
0,1,Colts,Andre Rison 51 yard pass from Jack Trudeau (Dean Biasucci kick),0,7
1,2,Browns,Eric Metcalf 12 yard rush (Matt Bahr kick),7,7
2,2,Browns,Matt Bahr 48 yard field goal,10,7
3,3,Browns,Lawyer Tillman special teams fumble recovery in end zone (Matt Bahr kick),17,7
4,3,Colts,Dean Biasucci 35 yard field goal,17,10
5,4,Colts,Pat Beach 1 yard pass from Tom Ramsey (Dean Biasucci kick),17,17
6,OT,Colts,Mike Prior 58 yard interception return,17,23
