,Quarter,Tm,Detail,SFO,MIN
0,2.0,Vikings,Fred Cox 37 yard field goal,0,3
1,4.0,49ers,Ted Kwalick 1 yard pass from Steve Spurrier (Momcilo Gavric kick),7,3
2,4.0,Vikings,Gene Washington 52 yard pass from Joe Kapp (Fred Cox kick),7,10
