,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Billy Wilson 25 yard pass from John Brodie (Gordie Soltau kick),0,7
1,2.0,Bears,Willie Galimore 20 yard rush (George Blanda kick),7,7
2,2.0,Bears,George Blanda 20 yard field goal,10,7
3,2.0,Bears,George Blanda 15 yard field goal,13,7
4,3.0,Bears,J.C. Caroline 58 yard pass from Ed Brown (George Blanda kick),20,7
5,4.0,49ers,Hugh McElhenny 2 yard rush (Gordie Soltau kick),20,14
6,4.0,Bears,Willie Galimore 47 yard pass from Zeke Bratkowski (George Blanda kick),27,14
