,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Bobby Howfield 22 yard field goal,3,0
1,1.0,Colts,George Hunt 17 yard field goal,3,3
2,2.0,Colts,Glenn Doughty 23 yard pass from Bert Jones (George Hunt kick),3,10
3,3.0,Jets,Eddie Bell 12 yard pass from Al Woodall (Bobby Howfield kick),10,10
4,3.0,Jets,Bobby Howfield 16 yard field goal,13,10
5,4.0,Jets,Emerson Boozer 1 yard pass from Al Woodall (Bobby Howfield kick),20,10
6,4.0,Jets,Ralph Baker 22 yard interception return (Bobby Howfield kick),27,10
7,4.0,Jets,Rich Sowells 30 yard interception return (Bobby Howfield kick),34,10
