,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Lorenzo Neal 74 yard rush (Morten Andersen kick),7,0
1,1.0,Saints,Morten Andersen 27 yard field goal,10,0
2,2.0,Falcons,Erric Pegram 1 yard rush (Norm Johnson kick),10,7
3,2.0,Saints,Quinn Early 42 yard pass from Wade Wilson (Morten Andersen kick),17,7
4,2.0,Falcons,Norm Johnson 20 yard field goal,17,10
5,2.0,Saints,Quinn Early 18 yard pass from Wade Wilson (Morten Andersen kick),24,10
6,3.0,Saints,Irv Smith 1 yard pass from Wade Wilson (Morten Andersen kick),31,10
7,4.0,Falcons,Michael Haynes 4 yard pass from Bobby Hebert (Norm Johnson kick),31,17
8,4.0,Falcons,Michael Haynes 98 yard pass from Bobby Hebert (Norm Johnson kick),31,24
9,4.0,Falcons,Mike Pritchard 3 yard pass from Bobby Hebert (Norm Johnson kick),31,31
10,4.0,Saints,Morten Andersen 44 yard field goal,34,31
