,Quarter,Time,Tm,Detail,IND,KAN
0,1,,Chiefs,Lake Dawson 20 yard pass from Steve Bono (Lin Elliott kick),0,7
1,2,,Colts,Floyd Turner 5 yard pass from Jim Harbaugh (Cary Blanchard kick),7,7
2,3,,Colts,Cary Blanchard 30 yard field goal,10,7
