,Quarter,Tm,Detail,NWE,NYJ
0,2.0,Jets,Pat Leahy 47 yard field goal,0,3
1,3.0,Patriots,Stanley Morgan 19 yard pass from Doug Flutie (Jason Staurovsky kick),7,3
2,3.0,Jets,Pat Leahy 48 yard field goal,7,6
3,4.0,Patriots,John Stephens 3 yard rush (Jason Staurovsky kick),14,6
4,4.0,Jets,Freeman McNeil 6 yard rush (Pat Leahy kick),14,13
