,Quarter,Tm,Detail,DEN,DAL
0,1.0,Cowboys,Preston Pearson 22 yard pass from Roger Staubach (Efren Herrera kick),0,7
1,3.0,Cowboys,Robert Newhouse 7 yard pass from Roger Staubach (Efren Herrera kick),0,14
2,3.0,Broncos,Jim Turner 22 yard field goal,3,14
3,4.0,Broncos,Jim Turner 37 yard field goal,6,14
