,Quarter,Time,Tm,Detail,LAC,KAN
0,1.0,1:33,Chiefs,Harrison Butker 40 yard field goal,0,3
1,2.0,11:49,Chargers,Keenan Allen 12 yard pass from Philip Rivers (Michael Badgley kick),7,3
2,2.0,2:23,Chiefs,Demarcus Robinson 24 yard pass from Patrick Mahomes (Harrison Butker kick),7,10
3,3.0,13:19,Chargers,Melvin Gordon 5 yard rush (Michael Badgley kick),14,10
4,3.0,13:14,Chiefs,Mecole Hardman 104 yard kickoff return (Harrison Butker kick),14,17
5,3.0,6:41,Chiefs,Damien Williams 84 yard rush (Harrison Butker kick),14,24
6,4.0,5:28,Chargers,Hunter Henry 8 yard pass from Philip Rivers (Michael Badgley kick),21,24
7,4.0,2:42,Chiefs,Damien Williams 7 yard rush (Harrison Butker kick),21,31
