,Quarter,Time,Tm,Detail,JAX,OAK
0,1.0,9:27,Raiders,Sebastian Janikowski 35 yard field goal,0,3
1,2.0,10:15,Jaguars,Josh Scobee 26 yard field goal,3,3
2,2.0,0:02,Raiders,Sebastian Janikowski 27 yard field goal,3,6
3,3.0,7:10,Jaguars,Josh Scobee 22 yard field goal,6,6
4,3.0,3:41,Jaguars,Greg Jones 1 yard rush (Josh Scobee kick),13,6
