,Quarter,Time,Tm,Detail,DAL,ATL
0,1.0,6:19,Cowboys,Dak Prescott 11 yard rush (Mike Nugent kick),7,0
1,1.0,0:00,Falcons,Matt Bryant 50 yard field goal,7,3
2,2.0,1:31,Falcons,Tevin Coleman 1 yard rush (Matt Bryant kick),7,10
3,3.0,8:26,Falcons,Justin Hardy 3 yard pass from Matt Ryan (Matt Bryant kick),7,17
4,4.0,13:48,Falcons,Austin Hooper 1 yard pass from Matt Ryan (Matt Bryant kick),7,24
5,4.0,8:28,Falcons,Matt Bryant 29 yard field goal,7,27
