,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Johnny Blood 53 yard pass from Red Dunn (Red Dunn kick),7,0
1,2.0,Giants,Hap Moran 3 yard rush (Hap Moran kick),7,7
2,2.0,Giants,Hap Moran 23 yard field goal,7,10
3,4.0,Packers,Hank Bruder 19 yard pass from Red Dunn (Red Dunn kick),14,10
