,Quarter,Tm,Detail,COL,BUF
0,3.0,Bisons,Frank Morrissey 21 yard field goal,0,3
1,4.0,Bisons,Frank Morrissey 30 yard field goal,0,6
2,4.0,Bisons,Benny Boynton 9 yard rush (Benny Boynton kick),0,13
