,Quarter,Time,Tm,Detail,SEA,BAL
0,1.0,5:08,Seahawks,Tyler Lockett 8 yard pass from Russell Wilson (Stephen Hauschka kick),7,0
1,2.0,13:39,Ravens,Justin Tucker 28 yard field goal,7,3
2,2.0,0:38,Seahawks,Doug Baldwin 14 yard pass from Russell Wilson (Stephen Hauschka kick),14,3
3,2.0,0:00,Ravens,Justin Tucker 30 yard field goal,14,6
4,3.0,8:54,Seahawks,Doug Baldwin 22 yard pass from Russell Wilson (Stephen Hauschka kick),21,6
5,4.0,14:53,Seahawks,Tyler Lockett 49 yard pass from Russell Wilson (Stephen Hauschka kick),28,6
6,4.0,8:55,Seahawks,Doug Baldwin 16 yard pass from Russell Wilson (Stephen Hauschka kick),35,6
