,Quarter,Tm,Detail,TAM,GNB
0,1.0,Buccaneers,Garo Yepremian 39 yard field goal,3,0
1,1.0,Buccaneers,Isaac Hagins 17 yard pass from Doug Williams (Garo Yepremian kick),10,0
2,2.0,Packers,Jan Stenerud 40 yard field goal,10,3
3,3.0,Buccaneers,Garo Yepremian 20 yard field goal,13,3
4,4.0,Packers,Eddie Lee Ivery 1 yard rush (Jan Stenerud kick),13,10
5,4.0,Packers,Paul Coffman 16 yard pass from Lynn Dickey (Jan Stenerud kick),13,17
6,4.0,Buccaneers,Johnny Davis 1 yard rush (Garo Yepremian kick),20,17
