,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Tony Hill 8 yard pass from Danny White (Rafael Septien kick),7,0
1,1.0,Giants,Jess Atkinson 23 yard field goal,7,3
2,2.0,Cowboys,Mike Renfro 8 yard pass from Danny White (Rafael Septien kick),14,3
3,2.0,Giants,Jess Atkinson 37 yard field goal,14,6
4,3.0,Giants,Lionel Manuel 51 yard pass from Phil Simms,14,12
5,3.0,Giants,Lionel Manuel 23 yard pass from Phil Simms (Jess Atkinson kick),14,19
6,3.0,Giants,George Adams 70 yard pass from Phil Simms (Jess Atkinson kick),14,26
7,3.0,Cowboys,Mike Renfro 24 yard pass from Danny White (Rafael Septien kick),21,26
8,4.0,Cowboys,Rafael Septien 22 yard field goal,24,26
9,4.0,Cowboys,Rafael Septien 29 yard field goal,27,26
10,4.0,Giants,Jess Atkinson 47 yard field goal,27,29
11,4.0,Cowboys,Rafael Septien 31 yard field goal,30,29
