,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Chris Bahr 20 yard field goal,0,3
1,2.0,Raiders,Frank Hawkins 1 yard rush (Chris Bahr kick),0,10
2,2.0,Raiders,Frank Hawkins 5 yard rush (Chris Bahr kick),0,17
3,2.0,Raiders,Chris Bahr 45 yard field goal,0,20
4,3.0,Raiders,Marcus Allen 3 yard pass from Jim Plunkett (Chris Bahr kick),0,27
5,3.0,Seahawks,Dan Doornink 11 yard pass from Jim Zorn (Norm Johnson kick),7,27
6,4.0,Raiders,Chris Bahr 35 yard field goal,7,30
7,4.0,Seahawks,Charle Young 9 yard pass from Jim Zorn (Norm Johnson kick),14,30
