,Quarter,Tm,Detail,BUF,CIN
0,2.0,Bills,Fred Steinfort 28 yard field goal,3,0
1,2.0,Bengals,Jim Breech 30 yard field goal,3,3
2,3.0,Bills,Jerry Butler 14 yard pass from Joe Ferguson (Fred Steinfort kick),10,3
3,4.0,Bengals,Jim Breech 47 yard field goal,10,6
