,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Colts,Roosevelt Leaks 6 yard rush (Toni Linhart kick),7,0
1,2.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),14,0
2,2.0,Jets,Pat Leahy 25 yard field goal,14,3
3,3.0,Colts,Don McCauley 1 yard rush,20,3
4,4.0,Jets,"Safety, D. Lee ran out of end zone",20,5
5,4.0,Jets,Charlie White 1 yard rush (Pat Leahy kick),20,12
