,Quarter,Tm,Detail,NWE,RAM
0,1,Rams,George Farmer 46 yard pass from Vince Ferragamo (Mike Lansford kick),0,7
1,2,Patriots,Mosi Tatupu 4 yard rush (Joaquin Zendejas kick),7,7
2,3,Patriots,Mosi Tatupu 5 yard rush (Joaquin Zendejas kick),14,7
3,4,Patriots,Mosi Tatupu 7 yard rush (Joaquin Zendejas kick),21,7
