,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Jan Stenerud 35 yard field goal,3,0
1,1.0,Chargers,Dennis Partee 50 yard field goal,3,3
2,2.0,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),10,3
3,2.0,Chiefs,Jan Stenerud 17 yard field goal,13,3
4,3.0,Chargers,John Hadl 9 yard rush,13,9
5,3.0,Chiefs,Otis Taylor 55 yard pass from Len Dawson (Jan Stenerud kick),20,9
6,4.0,Chiefs,Otis Taylor 9 yard pass from Len Dawson (Jan Stenerud kick),27,9
